Model,Accuracy,F1,ROC-AUC,Log Loss,Throughput,File Size,Raw Prediction Time,Norm_Accuracy,Norm_F1,Norm_ROC-AUC,Norm_Throughput,Norm_Log Loss,Norm_File Size,Composite_Score
LightGBM,0.585245073269328,0.43889298477705996,0.7146108805763794,0.9002299191853416,2.928094193535932,0.9893608093261719,0.3415190680025262,1.0,0.4891965614013145,0.9915150231937501,0.033461488317054276,0.9929418004592349,0.9974679053080259,0.747449092467576
CatBoost,0.5800909550277918,0.4535091237445494,0.7100668248885521,0.9072284162186245,5.757240816918784,2.0566282272338867,0.1736943150026491,0.7134831460674164,0.7755992793672434,0.8968520421060641,0.06754049807120248,0.8460586558700646,0.9947316563203926,0.7455799024710351
HistGradientBoosting,0.5835270338554825,0.4360146520461896,0.7149996280908745,0.8998936192737041,5.493215675313238,0.42473602294921875,0.18204273400260718,0.9044943820224701,0.43279573494740725,0.9996135151887112,0.06436013431707614,1.0,0.9989154844003825,0.7169878617982043
LogisticRegression,0.5817079332996463,0.4225756224872455,0.7108145694864892,0.906053635762645,83.16749042084102,0.0017232894897460938,0.012023929000861244,0.8033707865168549,0.16945843355288046,0.9124292571746555,1.0,0.870714727988913,1.0,0.6810690116030576
XGBoost,0.5742294087923193,0.45319121642586885,0.7073331001069262,0.9174550187298852,8.403547211148128,1.204850196838379,0.11899736800114624,0.3876404494381988,0.7693698968788936,0.8399023577095409,0.09941707197375012,0.6314246382840265,0.9969154358814019,0.6490952451071339
NeuralNetwork,0.5850429509853461,0.4203937673089273,0.7150181803114449,0.9011145110297057,13.183752759895986,0.020465850830078125,0.07585093699890422,0.9887640449438171,0.12670505971945517,1.0,0.1569979234489643,0.9743761525550884,0.9999519480182448,0.6488969293068297
randomforest_tuned,0.5791814047498737,0.44618579749861764,0.7039935646867203,0.912002003045932,1.360364272029071,54.76496982574463,0.7350972240019473,0.6629213483146057,0.6320989646773413,0.770332264373875,0.014577107124035989,0.7458715098543053,0.8595985641648286,0.6382851300552156
catboost_tuned,0.5824153612935826,0.42095809066752743,0.7122021886783321,0.9047558734372549,29.362111648635544,0.12176895141601562,0.03405749599914998,0.8426966292134827,0.13776295565724261,0.9413365105928312,0.35187734250014713,0.8979519205427011,0.9996922281937928,0.6230876637820997
RandomForest,0.5722081859525012,0.4649610825124942,0.6981850414245673,0.9312772228385844,1.2009640205411032,149.30316257476807,0.8326644120024866,0.2752808988764007,1.0,0.6493275572384586,0.012657021865684561,0.34132680799506887,0.6172225393168904,0.5820423281407363
lightgbm_tuned,0.5807983830217281,0.4204083137769737,0.7103160860244976,0.906559958824264,0.4290437062762928,2.5096702575683594,2.3307648740010336,0.7528089887640442,0.12699009723822505,0.902044716628322,0.0033587127212115807,0.8600881144296112,0.9935701519250947,0.5547694681575325
xgboost_tuned,0.5794845881758464,0.4140297614674675,0.7080888389966596,0.9156278073515247,4.876758461582739,1.5333967208862305,0.20505423999929917,0.6797752808988738,0.0020025938904641317,0.8556461119988448,0.05693448474978124,0.6697738083710224,0.9960731117565084,0.4799631972344142
ExtraTrees,0.567256189994947,0.46139368701065225,0.6903976902844464,0.9475403186472613,1.0250723554468653,390.04934787750244,0.9755408920027548,0.0,0.9300970133042972,0.4870993795171382,0.010538286229688242,0.0,0.0,0.37750280851768564
SVM,0.5786760990399191,0.4139275620511828,0.6670157232198158,0.9403482263998773,0.15021251890670897,0.589909553527832,6.657234745001915,0.6348314606741546,0.0,0.0,0.0,0.15094628467329874,0.9984920142388782,0.2419101220260486
