matchup,perturbation_type,shift_value,prob_home_win,prob_draw,prob_away_win,delta_win_prob
Argentina vs Brazil,elo,-150.0,0.2130720500973553,0.26287041363025265,0.524057536272392,-0.12796087117924754
Argentina vs Brazil,elo,-100.0,0.2769790007646265,0.28095937795432135,0.44206162128105203,-0.06405392051197634
Argentina vs Brazil,elo,-50.0,0.29782982965834853,0.29463579320082234,0.40753437714082913,-0.04320309161825431
Argentina vs Brazil,elo,0.0,0.34103292127660284,0.3060010475835799,0.3529660311398172,0.0
Argentina vs Brazil,elo,50.0,0.4245548794334608,0.2426942035825964,0.3327509169839426,0.08352195815685798
Argentina vs Brazil,elo,100.0,0.4586638681096157,0.2199774435190809,0.3213586883713035,0.11763094683301284
Argentina vs Brazil,elo,150.0,0.5522877216345012,0.17948597755333295,0.2682263008121658,0.2112548003578984
Argentina vs Brazil,form,-0.3,0.3482870101968126,0.32634109838017344,0.325371891423014,0.007254088920209734
Argentina vs Brazil,form,-0.2,0.36441704409009673,0.2951422864879353,0.340440669421968,0.02338412281349389
Argentina vs Brazil,form,-0.1,0.3394461435665806,0.3067378911334728,0.35381596529994663,-0.0015867777100222469
Argentina vs Brazil,form,0.0,0.34103292127660284,0.3060010475835799,0.3529660311398172,0.0
Argentina vs Brazil,form,0.1,0.34103292127660284,0.3060010475835799,0.3529660311398172,0.0
Argentina vs Brazil,form,0.2,0.34103292127660284,0.3060010475835799,0.3529660311398172,0.0
Argentina vs Brazil,form,0.3,0.34103292127660284,0.3060010475835799,0.3529660311398172,0.0
England vs Croatia,elo,-150.0,0.30908773419244895,0.31449330222232663,0.3764189635852244,-0.0341910258657418
England vs Croatia,elo,-100.0,0.3010938819959586,0.36285949305369436,0.336046624950347,-0.042184878062232145
England vs Croatia,elo,-50.0,0.3359333376296905,0.3713433873145511,0.29272327505575846,-0.007345422428500226
England vs Croatia,elo,0.0,0.34327876005819075,0.3953414967204658,0.26137974322134344,0.0
England vs Croatia,elo,50.0,0.3963312290913246,0.39831217364965776,0.2053565972590177,0.053052469033133876
England vs Croatia,elo,100.0,0.5683850746713427,0.2956661788593713,0.13594874646928592,0.22510631461315195
England vs Croatia,elo,150.0,0.6340736094923951,0.27511558429965216,0.09081080620795269,0.29079484943420436
England vs Croatia,form,-0.3,0.32986972651307367,0.4010643930968756,0.26906588039005086,-0.013409033545117077
England vs Croatia,form,-0.2,0.3405030253989118,0.3947004997868838,0.2647964748142044,-0.002775734659278939
England vs Croatia,form,-0.1,0.34196330815560316,0.3938265392440854,0.26421015260031133,-0.0013154519025875833
England vs Croatia,form,0.0,0.34327876005819075,0.3953414967204658,0.26137974322134344,0.0
England vs Croatia,form,0.1,0.3539872579053799,0.40767407903874847,0.2383386630558717,0.010708497847189136
England vs Croatia,form,0.2,0.3539872579053799,0.40767407903874847,0.2383386630558717,0.010708497847189136
England vs Croatia,form,0.3,0.3539872579053799,0.40767407903874847,0.2383386630558717,0.010708497847189136
USA vs Mexico,elo,-150.0,0.09129687947800937,0.12440587156157688,0.7842972489604138,-0.1358461312106533
USA vs Mexico,elo,-100.0,0.08976893525823675,0.14164673911890582,0.7685843256228575,-0.1373740754304259
USA vs Mexico,elo,-50.0,0.14931898000048435,0.1475644770007157,0.7031165429988,-0.07782403068817831
USA vs Mexico,elo,0.0,0.22714301068866266,0.16588783798489187,0.6069691513264455,0.0
USA vs Mexico,elo,50.0,0.2686347265244018,0.1803757891783464,0.5509894842972517,0.04149171583573913
